endTime,artistName,trackName,msPlayed
2022-03-27 00:01,Edward Sharpe & The Magnetic Zeros,The Ballad of Yaya,297413
2022-03-27 00:05,Passion Pit,Take a Walk,264493
2022-03-27 00:09,Dr. Dog,That Old Black Hole,201080
2022-03-27 00:12,Bleachers,I Wanna Get Better,204520
2022-03-27 00:16,Edward Sharpe & The Magnetic Zeros,That's What's Up,232146
2022-03-27 00:19,Matt and Kim,Daylight,171333
2022-03-27 00:22,alt-J,Left Hand Free,173630
2022-03-27 00:25,Edward Sharpe & The Magnetic Zeros,Life Is Hard,210666
2022-03-27 00:27,Noah And The Whale,2 Atoms In A Molecule,124626
2022-03-27 00:31,Of Monsters and Men,Mountain Sound,211453
2022-03-27 00:34,The Mowgli's,San Francisco,173093
2022-03-27 00:38,Dr. Dog,Where'd All the Time Go?,234800
2022-03-27 00:41,Dr. Dog,I Only Wear Blue,223160
2022-03-27 00:45,Grouplove,Naked Kids,210426
2022-03-27 00:49,alt-J,Breezeblocks,227080
2022-03-27 00:51,The Head And The Heart,Cats and Dogs,115520
2022-03-27 00:55,The Head And The Heart,Rivers and Roads,284000
2022-03-27 00:59,Young the Giant,Apartment - 2020 Remaster,234987
2022-03-27 01:03,Portugal. The Man,Modern Jesus,194053
2022-03-27 01:08,Dr. Dog,I Saw Her for the First Time,257960
2022-03-27 01:14,The Head And The Heart,Another Story,274200
2022-03-27 01:17,Edward Sharpe & The Magnetic Zeros,Milton,198213
2022-03-27 01:21,Florence + The Machine,Dog Days Are Over,251840
2022-03-27 01:24,Dr. Dog,Jackie Wants a Black Eye,184826
2022-03-27 01:28,Grizzly Bear,Two Weeks,243160
2022-03-27 01:32,Youth Lagoon,17,236000
2022-03-27 01:36,Edward Sharpe & The Magnetic Zeros,40 Day Dream - 2019 - Remaster,232690
2022-03-27 01:40,Edward Sharpe & The Magnetic Zeros,Better Days,265266
2022-03-27 02:28,Edward Sharpe & The Magnetic Zeros,Up from Below - 2019 - Remaster,210120
2022-03-27 17:28,Edward Sharpe & The Magnetic Zeros,Up from Below - 2019 - Remaster,5300
2022-03-27 17:30,Tame Impala,The Less I Know The Better,114040
2022-03-27 17:33,Yuji Nomi,The Song of Baron,162800
2022-03-27 20:16,Joe Hisaishi,A Town with an Ocean View,180333
2022-03-27 20:19,Joe Hisaishi,Starting the Job,135280
2022-03-27 20:21,Joe Hisaishi,Spring Waltz,122426
2022-03-27 20:24,Joe Hisaishi,The Princess Who Loves Insects,191360
2022-03-27 20:27,Yuji Nomi,Haru's Memories,201133
2022-03-27 20:33,Joe Hisaishi,On a Clear Day,136040
2022-03-27 20:36,Joe Hisaishi,A Walk in the Skies,134813
2022-03-27 20:38,Joe Hisaishi,Flying Delivery Service,129306
2022-03-27 20:40,Joe Hisaishi,Moonlight Flight,125826
2022-03-27 20:51,Joe Hisaishi,Morning in the Slag Ravine,184306
2022-03-27 20:56,Joe Hisaishi,Reprise,293600
2022-03-27 20:59,Joe Hisaishi,A Journey (A Dream of Flight),175186
2022-03-27 21:00,Joe Hisaishi,The Baker's Assistant,64520
2022-03-27 21:02,Joe Hisaishi,The Village in May,98800
2022-03-27 21:05,Joe Hisaishi,A Night of Shooting Stars,160600
2022-03-27 21:09,John Powell,This Is Berk,250266
2022-03-27 21:10,Alexandre Desplat,Dance on the Porch,67973
2022-03-27 21:12,Joe Hisaishi,The First Meeting,31426
2022-03-27 21:14,Toshifumi Hinata,Menuet,12410
2022-03-27 21:14,Katsu Hoshi,Safflower - Piano Version,123160
2022-03-28 03:05,Toshifumi Hinata,Menuet,31170
2022-03-28 06:10,Glass Animals,Heat Waves,301
2022-03-28 06:13,The Beaches,Fascination,181773
2022-03-28 06:16,Wallows,OK,193293
2022-03-28 06:20,Ambar Lucid,Universe,210240
2022-03-28 06:23,Wolf Parade,Under Glass,201367
2022-03-28 06:27,Swimming Tapes,Queen's Parade,225316
2022-03-28 06:31,The Backseat Lovers,Kilby Girl,282205
2022-03-28 06:35,Mallrat,Groceries,217284
2022-03-28 06:38,Cosmo's Midnight,Down for You,193716
2022-03-28 06:42,Harry Styles,Adore You,207133
2022-03-28 06:47,Mt. Joy,Bug Eyes,303826
2022-03-28 06:49,Beach Bunny,Cloud 9 (feat. Tegan and Sara),148207
2022-03-28 06:53,The Head And The Heart,Honeybee,196055
2022-03-28 06:56,BØRNS,Electric Love,218106
2022-03-28 06:59,The Beaches,Let's Go,142760
2022-03-28 07:04,UNKLE,With You in My Head (feat. The Black Angels),311786
2022-03-28 07:08,MGMT,In The Afternoon,226253
2022-03-28 07:11,COIN,Crash My Car,188306
2022-03-28 07:14,Ashe,Moral of the Story (feat. Niall Horan),198515
2022-03-28 07:17,Charlie Houston,Things,199559
2022-03-28 07:22,Wallows,Just Like A Movie,247613
2022-03-28 07:25,Wet Leg,Too Late Now,209253
2022-03-28 07:28,Joji,Run,195000
2022-03-28 07:33,Mac Miller,Right,287871
2022-03-28 07:37,Jon Bryant,Heart Rate & Dopamine,218293
2022-03-28 07:40,Peach Pit,Black Licorice,219826
2022-03-28 07:43,JAWNY,Best Thing,156706
2022-03-28 07:46,Angus Maude,Lemonade,164516
2022-03-28 07:50,Matt Holubowski,Eyes Wider,244909
2022-03-28 07:54,Black Lips,Crystal Night,218003
